rowid,rowid2,hour.range,urban,Weekday.Non-Rain.Construction,Weekday.Non-Rain.Non-Construction,Weekday.Rain.Construction,Weekday.Rain.Non-Construction,Weekend.Non-Rain.Construction,Weekend.Non-Rain.Non-Construction,Weekend.Rain.Construction,Weekend.Rain.Non-Construction
3,2349,Afternoon Rush,Indianapolis,NA,26,NA,27,NA,48,NA,46
3,2350,Afternoon Rush,Indianapolis,NA,26,NA,27,NA,48,NA,47
3,2351,Afternoon Rush,Indianapolis,NA,27,NA,27,NA,48,NA,47
3,2352,Afternoon Rush,Indianapolis,NA,27,NA,27,NA,48,NA,47
3,2353,Afternoon Rush,Indianapolis,NA,28,NA,28,NA,48,NA,47
3,2354,Afternoon Rush,Indianapolis,NA,28,NA,29,NA,48,NA,47
3,2355,Afternoon Rush,Indianapolis,NA,29,NA,29,NA,49,NA,47
3,2356,Afternoon Rush,Indianapolis,NA,29,NA,29,NA,49,NA,47
3,2357,Afternoon Rush,Indianapolis,NA,30,NA,30,NA,49,NA,47
3,2358,Afternoon Rush,Indianapolis,NA,30,NA,30,NA,49,NA,47
3,2359,Afternoon Rush,Indianapolis,NA,31,NA,31,NA,49,NA,48
3,2360,Afternoon Rush,Indianapolis,NA,32,NA,31,NA,49,NA,48
3,2361,Afternoon Rush,Indianapolis,NA,32,NA,32,NA,49,NA,48
3,2362,Afternoon Rush,Indianapolis,NA,32,NA,32,NA,49,NA,48
3,2363,Afternoon Rush,Indianapolis,NA,33,NA,32,NA,49,NA,48
3,2364,Afternoon Rush,Indianapolis,NA,34,NA,33,NA,49,NA,48
3,2365,Afternoon Rush,Indianapolis,NA,35,NA,33,NA,49,NA,48
3,2366,Afternoon Rush,Indianapolis,NA,35,NA,34,NA,49,NA,48
3,2367,Afternoon Rush,Indianapolis,NA,36,NA,34,NA,49,NA,48
3,2368,Afternoon Rush,Indianapolis,NA,37,NA,34,NA,49,NA,48
3,2369,Afternoon Rush,Indianapolis,NA,37,NA,35,NA,49,NA,49
3,2370,Afternoon Rush,Indianapolis,NA,38,NA,35,NA,49,NA,49
3,2371,Afternoon Rush,Indianapolis,NA,39,NA,35,NA,49,NA,49
3,2372,Afternoon Rush,Indianapolis,NA,39,NA,36,NA,49,NA,49
3,2373,Afternoon Rush,Indianapolis,NA,40,NA,36,NA,49,NA,49
3,2374,Afternoon Rush,Indianapolis,NA,40,NA,37,NA,50,NA,49
3,2375,Afternoon Rush,Indianapolis,NA,41,NA,38,NA,50,NA,49
3,2376,Afternoon Rush,Indianapolis,NA,41,NA,38,NA,50,NA,49
3,2377,Afternoon Rush,Indianapolis,NA,42,NA,39,NA,50,NA,49
3,2378,Afternoon Rush,Indianapolis,NA,42,NA,39,NA,50,NA,49
3,2379,Afternoon Rush,Indianapolis,NA,43,NA,40,NA,50,NA,49
3,2380,Afternoon Rush,Indianapolis,NA,43,NA,41,NA,50,NA,49
3,2381,Afternoon Rush,Indianapolis,NA,44,NA,41,NA,50,NA,49
3,2382,Afternoon Rush,Indianapolis,NA,44,NA,42,NA,50,NA,49
3,2383,Afternoon Rush,Indianapolis,NA,45,NA,42,NA,50,NA,49
3,2384,Afternoon Rush,Indianapolis,NA,45,NA,43,NA,50,NA,49
3,2385,Afternoon Rush,Indianapolis,NA,45,NA,43,NA,50,NA,49
3,2386,Afternoon Rush,Indianapolis,NA,46,NA,44,NA,50,NA,49
3,2387,Afternoon Rush,Indianapolis,NA,46,NA,44,NA,50,NA,49
3,2388,Afternoon Rush,Indianapolis,NA,46,NA,44,NA,50,NA,49
3,2389,Afternoon Rush,Indianapolis,NA,47,NA,45,NA,50,NA,49
3,2390,Afternoon Rush,Indianapolis,NA,47,NA,45,NA,50,NA,49.48
3,2391,Afternoon Rush,Indianapolis,NA,47,NA,45,NA,50,NA,50
3,2392,Afternoon Rush,Indianapolis,NA,47,NA,46,NA,50,NA,50
3,2393,Afternoon Rush,Indianapolis,NA,48,NA,46,NA,50,NA,50
3,2394,Afternoon Rush,Indianapolis,NA,48,NA,46,NA,50,NA,50
3,2395,Afternoon Rush,Indianapolis,NA,48,NA,47,NA,50,NA,50
3,2396,Afternoon Rush,Indianapolis,NA,48,NA,47,NA,50,NA,50
3,2397,Afternoon Rush,Indianapolis,NA,48,NA,47,NA,50,NA,50
3,2398,Afternoon Rush,Indianapolis,NA,48,NA,47,NA,50,NA,50
3,2399,Afternoon Rush,Indianapolis,NA,49,NA,47,NA,50,NA,50
3,2400,Afternoon Rush,Indianapolis,NA,49,NA,48,NA,50,NA,50
3,2401,Afternoon Rush,Indianapolis,NA,49,NA,48,NA,50,NA,50
3,2402,Afternoon Rush,Indianapolis,NA,49,NA,48,NA,50,NA,50
3,2403,Afternoon Rush,Indianapolis,NA,49,NA,48,NA,50,NA,50
3,2404,Afternoon Rush,Indianapolis,NA,49,NA,48,NA,50,NA,50
3,2405,Afternoon Rush,Indianapolis,NA,49,NA,49,NA,50,NA,50
3,2406,Afternoon Rush,Indianapolis,NA,49,NA,49,NA,50,NA,50
3,2407,Afternoon Rush,Indianapolis,NA,49,NA,49,NA,50,NA,50
3,2408,Afternoon Rush,Indianapolis,NA,50,NA,49,NA,50,NA,50
3,2409,Afternoon Rush,Indianapolis,NA,50,NA,49,NA,50,NA,50
3,2410,Afternoon Rush,Indianapolis,NA,50,NA,49,NA,50,NA,50
3,2411,Afternoon Rush,Indianapolis,NA,50,NA,49,NA,50,NA,50
3,2412,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2413,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2414,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2415,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2416,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2417,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2418,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2419,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2420,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2421,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2422,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2423,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
3,2424,Afternoon Rush,Indianapolis,NA,50,NA,50,NA,50,NA,50
4,2425,Afternoon Rush,Louisville,NA,25,NA,21,NA,11,NA,NA
4,2426,Afternoon Rush,Louisville,NA,25.94,NA,21,NA,12.28,NA,NA
4,2427,Afternoon Rush,Louisville,NA,26.88,NA,21.74,NA,13.56,NA,NA
4,2428,Afternoon Rush,Louisville,NA,27.41,NA,22,NA,14.84,NA,NA
4,2429,Afternoon Rush,Louisville,NA,27.88,NA,22,NA,16.12,NA,NA
4,2430,Afternoon Rush,Louisville,NA,28.35,NA,22,NA,17.4,NA,NA
4,2431,Afternoon Rush,Louisville,NA,28.82,NA,22.22,NA,18.68,NA,NA
4,2432,Afternoon Rush,Louisville,NA,29,NA,23.18,NA,19.96,NA,NA
4,2433,Afternoon Rush,Louisville,NA,29,NA,24.92,NA,21.24,NA,NA
4,2434,Afternoon Rush,Louisville,NA,29.23,NA,25,NA,22.52,NA,NA
4,2435,Afternoon Rush,Louisville,NA,29.7,NA,25,NA,23.8,NA,NA
4,2436,Afternoon Rush,Louisville,NA,30,NA,25.57,NA,25.08,NA,NA
4,2437,Afternoon Rush,Louisville,NA,30,NA,26.44,NA,26.36,NA,NA
4,2438,Afternoon Rush,Louisville,NA,30.11,NA,27,NA,27.64,NA,NA
4,2439,Afternoon Rush,Louisville,NA,30.58,NA,27,NA,28.92,NA,NA
4,2440,Afternoon Rush,Louisville,NA,31.05,NA,27,NA,30.2,NA,NA
4,2441,Afternoon Rush,Louisville,NA,31.52,NA,27,NA,31.48,NA,NA
4,2442,Afternoon Rush,Louisville,NA,31.99,NA,27,NA,32.76,NA,NA
4,2443,Afternoon Rush,Louisville,NA,32,NA,27.66,NA,34.04,NA,NA
4,2444,Afternoon Rush,Louisville,NA,32,NA,28,NA,35.32,NA,NA
4,2445,Afternoon Rush,Louisville,NA,32.8,NA,28,NA,36.6,NA,NA
4,2446,Afternoon Rush,Louisville,NA,33.74,NA,28,NA,37.88,NA,NA
4,2447,Afternoon Rush,Louisville,NA,34,NA,28.14,NA,39.16,NA,NA
4,2448,Afternoon Rush,Louisville,NA,34,NA,29,NA,40.44,NA,NA
4,2449,Afternoon Rush,Louisville,NA,34.28,NA,29,NA,41.72,NA,NA
4,2450,Afternoon Rush,Louisville,NA,34.75,NA,30.5,NA,43,NA,NA
