"xdid","position","lon","lat","direction"
1450758875,429,-87.31383,41.35296,"N"
1450788480,379,-87.21881,40.9301,"N"
1450789584,391,-87.2705,41.01927,"N"
1363485183,274,-86.56702,40.19018,"N"
1363498787,138,-85.94479,39.32142,"N"
1363492153,136,-86.92976,40.55311,"S"
1363511923,161,-86.02134,39.51026,"N"
1363595251,213,-86.16586,39.80278,"N"
1363608805,281,-86.10353,39.68672,"S"
1346387059,114,-87.07246,40.70967,"S"
1363485287,282,-86.63546,40.24349,"N"
1363566811,169,-86.05158,39.56589,"N"
1363533821,75,-85.81025,38.85441,"N"
1450821431,12,-87.3122,41.53326,"S"
1450788273,361,-87.13181,40.78512,"N"
1363580123,155,-86.82884,40.42618,"S"
1450788465,380,-87.21988,40.93597,"N"
1450789051,457,-87.30572,41.56354,"N"
1450789569,392,-87.27022,41.02781,"N"
1363600879,149,-85.96167,39.41514,"N"
1363533595,95,-85.85131,38.99719,"N"
1363490826,170,-86.74906,40.32015,"S"
1363506545,17,-85.75914,38.38252,"N"
1363612133,249,-86.21573,39.82386,"S"
1363609157,334,-85.96694,39.29449,"S"
1363614841,422,-85.78393,38.6418,"S"
1363639934,8,-85.75301,38.31933,"N"
1363468998,434,-85.77708,38.53758,"S"
1450803813,94,-87.18611,40.86121,"S"
1363565230,300,-86.04418,39.55469,"S"
1363583278,321,-86.8693,40.49723,"N"
1363603709,265,-86.14297,39.76942,"S"
1346389186,337,-86.98188,40.60899,"N"
1450789894,437,-87.32134,41.41354,"N"
1363609378,295,-86.06128,39.5817,"S"
1363595774,324,-85.94269,39.36711,"S"
1346452894,126,-86.99537,40.62364,"S"
1450759541,26,-87.32157,41.4349,"S"
1363482911,225,-86.26184,39.84872,"N"
1363533065,51,-85.78764,38.68257,"N"
1450789539,386,-87.25183,40.97803,"N"
1346387109,118,-87.05307,40.67654,"S"
1363490949,178,-86.67799,40.27566,"S"
1363502681,149,-86.85152,40.46774,"S"
1450803143,65,-87.2655,41.09747,"S"
1363599881,319,-85.95559,39.40969,"S"
1363614789,428,-85.77896,38.58979,"S"
139294664,128,-85.95401,39.25553,"N"
1363534004,110,-85.95436,39.1126,"N"
1363609144,335,-85.96082,39.28461,"S"
1363566828,114,-85.95801,39.14268,"N"
1363576320,276,-86.12617,39.71753,"S"
1363490773,174,-86.71681,40.29793,"S"
1363533223,55,-85.7988,38.71416,"N"
1363533491,85,-85.83985,38.93015,"N"
1450789481,382,-87.22347,40.9497,"N"
1450804689,89,-87.20823,40.90234,"S"
1363485225,269,-86.53745,40.1539,"N"
1363458100,221,-86.41148,39.99401,"S"
1363614764,430,-85.77898,38.5719,"S"
1363626328,122,-85.95727,39.20364,"N"
1346387084,112,-87.08392,40.72411,"S"
1363485208,272,-86.55502,40.17721,"N"
1363490256,164,-86.78084,40.36643,"S"
1450789464,383,-87.23237,40.95858,"N"
1450789732,397,-87.27049,41.07123,"N"
1363439216,191,-86.1092,39.70733,"N"
1363486512,181,-86.07672,39.65671,"N"
1363533808,76,-85.8098,38.86264,"N"
1363626964,204,-86.14225,39.77481,"N"
139460873,229,-86.28937,39.8777,"N"
1363421815,158,-86.81,40.40787,"S"
1363433381,236,-86.3116,39.89866,"S"
1363492192,133,-86.94767,40.57542,"S"
1363502737,145,-86.86418,40.49511,"S"
1363533874,71,-85.81897,38.8261,"N"
1363599318,315,-85.98467,39.43873,"S"
1363599854,321,-85.94321,39.39471,"S"
1450788243,363,-87.1429,40.79979,"N"
138324810,218,-86.43086,40.01112,"S"
1363484572,252,-86.4538,40.0285,"N"
1363484955,239,-86.35575,39.94909,"N"
1363540441,187,-86.60363,40.21882,"S"
1363599937,317,-85.97077,39.42381,"S"
1363600956,254,-86.17496,39.81178,"S"
1363609263,342,-85.95418,39.22548,"S"
1363610750,449,-85.7639,38.398,"S"
1363626394,133,-85.96612,39.29365,"N"
1363641017,467,-85.75288,38.28259,"S"
1450758827,424,-87.30132,41.31334,"N"
1450789196,464,-87.30718,41.59749,"N"
1450789747,404,-87.26556,41.13438,"N"
